gvkey,tic,conm,fyear,sale,cogs,xsga,oiadp,ni,at
008762,PG,PROCTER & GAMBLE CO,2024,84039.0,37704.0,23150.0,20289.0,14879.0,122370.0
184996,TSLA,TESLA INC,2024,97690.0,74872.0,9690.0,7760.0,7091.0,122070.0
020686,SYF,SYNCHRONY FINANCIAL,2024,23046.0,18124.0,,4441.0,3499.0,119463.0
028216,RGA,REINSURANCE GROUP AMER INC,2024,22011.0,20777.0,,1188.0,717.0,118675.0
001449,AFL,AFLAC INC,2024,17436.0,12255.0,,5141.0,5443.0,117566.0
007257,MRK,MERCK & CO INC,2024,64168.0,10453.0,25914.0,23556.0,17117.0,117106.0
145046,ELV,ELEVANCE HEALTH INC,2024,176810.0,146403.0,18586.0,10327.0,5980.0,116889.0
028349,ALL,ALLSTATE CORP,2024,64106.0,57325.0,,6185.0,4667.0,111617.0
117768,NVDA,NVIDIA CORP,2024,130497.0,30775.0,16405.0,81453.0,72880.0,111601.0
008539,EXC,EXELON CORP,2024,23028.0,15055.0,,4379.0,2460.0,107784.0
003835,DE,DEERE & CO,2024,51659.0,30207.0,6959.0,12375.0,7100.0,107320.0
013341,PGR,PROGRESSIVE CORP-OHIO,2024,75343.0,64067.0,,10992.0,8480.0,105745.0
